,Unit,Spp,Init.Dens.1.3Ht,Init.Dens.2.5,Init.Dens.5,Init.Dens.0-7.5
17,A1,Hw,3869.224895,103.1286457,1100,700
18,A2,Hw,13710.02941,566.6666667,0,92.56831815
19,A3,Hw,15876.57425,354.2410454,100.091659,260.4143879
20,A4,Hw,16266.80088,566.8162224,92.26793022,111.0651857
21,B1,Hw,4836.99284,73.1843155,960,740.7111111
22,B2,Hw,14592.24,0,40.0420021,0
23,B3,Hw,4554.761156,85.544476,598.4251969,0
24,B4,Hw,8482.47858,178.9646355,216,491.647
25,B5,Hw,4160.774834,0,600.3858521,629.896063
26,C1,Hw,9806.612903,809.2231507,1107.692308,583.31
27,C2,Hw,12927.68288,678.6427146,27.27272727,0
28,C3,Hw,16410.52632,226.9614218,450.3655565,462.6770397
29,D2,Hw,16500.24424,966.6666667,1066.666667,677.05625
30,D3,Hw,17447.16762,1079.365079,141.0747375,111.0159356
31,D4,Hw,18297.01178,884.9315068,720.9362809,594.9932219
32,D5,Hw,11552.19,917.4487537,327.4611399,406.9604651
33,A1,Sx,0,0,0,0
34,A2,Sx,0,0,0,0
35,A3,Sx,204.2010998,0,0,0
36,A4,Sx,223.7814583,0,0,0
37,B1,Sx,115.2816627,0,0,0
38,B2,Sx,202.67,0,0,0
39,B3,Sx,0,0,0,0
40,B4,Sx,0,0,0,0
41,B5,Sx,0,0,0,0
42,C1,Sx,653.7741935,0,0,0
43,C2,Sx,702.4774961,0,0,0
44,C3,Sx,193.0650155,0,0,0
45,D2,Sx,0,0,0,0
46,D3,Sx,0,0,0,0
47,D4,Sx,149.2415317,31.05022831,0,0
48,D5,Sx,0,0,0,0
49,A1,Pl,0,0,0,0
50,A2,Pl,0,0,0,0
51,A3,Pl,0,0,0,0
52,A4,Pl,0,0,0,0
53,B1,Pl,0,0,0,0
54,B2,Pl,0,0,0,0
55,B3,Pl,0,21.40482951,0,0
56,B4,Pl,0,0,0,0
57,B5,Pl,0,0,0,0
58,C1,Pl,0,0,0,0
59,C2,Pl,0,0,0,0
60,C3,Pl,0,0,0,0
61,D2,Pl,0,0,0,0
62,D3,Pl,0,0,0,0
63,D4,Pl,0,0,0,0
64,D5,Pl,0,0,0,0
65,A1,Cw,14187.15795,978.6403648,0,33.33333333
66,A2,Cw,6258.926471,566.6666667,1063.255814,740.5465452
67,A3,Cw,4083.960737,779.2906312,950.0458295,520.8287759
68,A4,Cw,3066.717105,283.2585555,1107.73207,722.2348143
69,B1,Cw,12323.04543,986.9647023,0,0
70,B2,Cw,5066.75,1133.333333,960.0280014,714.346425
71,B3,Cw,11310.51639,919.5095644,599.9250094,417.6942356
72,B4,Cw,6607.523261,775.4487998,984,316.654
73,B5,Cw,12616.54305,1133.333333,85.65916399,0
74,C1,Cw,3922.645161,162.0550913,92.30769231,249.99
75,C2,Cw,2096.94775,452.4284764,1172.727273,833.3
76,C3,Cw,2509.845201,906.9387483,749.8594014,370.2527076
77,D2,Cw,233.3367873,33.33333333,133.3333333,0
78,D3,Cw,234.9786885,0,1058.854672,722.0896407
79,D4,Cw,417.8762887,46.57534247,480.1440432,238.0687094
80,D5,Cw,9.315578578,0,599.9454595,406.9604651
81,A1,Ep,0,0,0,0
82,A2,Ep,0,0,0,0
83,A3,Ep,0,0,0,0
84,A4,Ep,0,0,0,0
85,B1,Ep,1036.498466,0,0,0
86,B2,Ep,202.67,0,0,0
87,B3,Ep,531.3843734,0,0,0
88,B4,Ep,1696.692149,0,0,0
89,B5,Ep,2550.152318,0,0,0
90,C1,Ep,1307.548387,0,0,0
91,C2,Ep,698.9825832,0,0,0
92,C3,Ep,0,0,0,0
93,D2,Ep,0,0,0,0
94,D3,Ep,0,0,0,0
95,D4,Ep,0,0,0,0
96,D5,Ep,0,0,0,0
97,A1,Ac,0,0,0,0
98,A2,Ac,0,0,0,0
99,A3,Ac,0,0,0,0
100,A4,Ac,0,0,0,0
101,B1,Ac,0,0,0,0
102,B2,Ac,0,0,0,0
103,B3,Ac,0,0,0,0
104,B4,Ac,0,0,0,0
105,B5,Ac,0,0,0,0
106,C1,Ac,0,0,0,0
107,C2,Ac,0,0,0,0
108,C3,Ac,0,0,0,0
109,D2,Ac,0,0,0,0
110,D3,Ac,0,0,0,0
111,D4,Ac,0,0,0,0
112,D5,Ac,0,0,0,0
113,A1,Ba,0,0,100,100
114,A2,Ba,0,0,0,0
115,A3,Ba,0,0,0,0
116,A4,Ba,0,0,0,0
117,B1,Ba,0,0,150,92.58888889
118,B2,Ba,0,0,0,0
119,B3,Ba,0,0,0,206.7586466
120,B4,Ba,88.39496002,0,0,0
121,B5,Ba,0,0,514.340836,208.0906637
122,C1,Ba,4661.41,162.0550913,0,0
123,C2,Ba,3491.418003,0,0,0
124,C3,Ba,0,0,0,0
125,D2,Ba,3533.385636,133.3333333,0,104.0583375
126,D3,Ba,2526.138391,53.96825397,0,0
127,D4,Ba,1193.932253,77.62557078,0,0
128,D5,Ba,8512.14,215.8845797,0,0
129,A1,At,0,0,0,0
130,A2,At,0,0,0,0
131,A3,At,0,0,0,0
132,A4,At,0,0,0,0
133,B1,At,0,0,0,0
134,B2,At,0,0,0,0
135,B3,At,0,0,0,0
136,B4,At,0,0,0,0
137,B5,At,0,0,0,0
138,C1,At,0,0,0,0
139,C2,At,0,0,0,0
140,C3,At,0,0,0,0
141,D2,At,0,0,0,0
142,D3,At,0,0,0,0
143,D4,At,0,0,0,0
144,D5,At,0,0,0,0
145,A1,Bl,2210.985654,51.56432283,0,0
146,A2,Bl,298.0441176,0,133.0232558,0
147,A3,Bl,102.0597097,0,149.8625115,51.56204881
148,A4,Bl,711.0339167,283.3687544,0,0
149,B1,Bl,1958.175935,73.1843155,90,0
150,B2,Bl,202.67,0,200.0700035,118.953575
151,B3,Bl,3871.13516,106.9493055,0,206.7586466
152,B4,Bl,3392.893215,178.9646355,0,24.999
153,B5,Bl,939.5298013,0,0,0
154,C1,Bl,0,0,0,0
155,C2,Bl,345.9963787,0,0,0
156,C3,Bl,1158.390093,0,0,0
157,D2,Bl,0,0,0,52.02916875
158,D3,Bl,58.74467212,0,0,0
159,D4,Bl,208.9381443,93.15068493,0,0
160,D5,Bl,0,0,272.7024816,19.37906977
