Block,Treatment,Unit,Grid pt,Unique_plot,Line,Bearing (deg.),Horizontal_distance
heavy,mesic mature,C2,E050,1,1,26,29.2366556
heavy,mesic mature,C2,E050,1,2,146,29.92676901
heavy,mesic mature,C2,E050,1,3,266,29.90445836
heavy,mesic mature,C2,D000,2,1,224,29.3596049
heavy,mesic mature,C2,D000,2,2,344,29.78630515
heavy,mesic mature,C2,D000,2,3,104,29.96257017
heavy,mesic mature,C2,G050,3,1,233,29.78630515
heavy,mesic mature,C2,G050,3,2,353,29.97602876
heavy,mesic mature,C2,G050,3,3,113,29.96257017
heavy,submesic mature,B3,A050,4,1,44,29.96257017
heavy,submesic mature,B3,A050,4,2,164,29.92676901
heavy,submesic mature,B3,A050,4,3,284,29.98650911
heavy,submesic mature,B3,B050,5,1,292,29.78630515
heavy,submesic mature,B3,B050,5,2,52,29.9940018
heavy,submesic mature,B3,B050,5,3,172,29.96257017
heavy,submesic mature,B3,D000,6,1,309,29.5756754
heavy,submesic mature,B3,D000,6,2,69,28.57272442
heavy,submesic mature,B3,D000,6,3,189,29.90445836
heavy,mesic mature,C2,K100,7,1,67,29.98650911
heavy,mesic mature,C2,K100,7,2,187,29.9940018
heavy,mesic mature,C2,K100,7,3,307,29.98650911
heavy,mesic mature,C2,J200,8,1,293,29.96257017
heavy,mesic mature,C2,J200,8,2,53,29.98650911
heavy,mesic mature,C2,J200,8,3,173,29.98650911
heavy,mesic mature,C2,F150,9,1,294,29.85111571
heavy,mesic mature,C2,F150,9,2,54,29.66809059
heavy,mesic mature,C2,F150,9,3,174,29.94614536
heavy,mesic mature,C2,B050,10,1,257,29.78630515
heavy,mesic mature,C2,B050,10,2,17,29.96257017
heavy,mesic mature,C2,B050,10,3,137,29.5756754
light,subhygric mature,C3,H100,11,1,104,29.10917854
light,subhygric mature,C3,H100,11,2,224,29.98650911
light,subhygric mature,C3,H100,11,3,344,29.97602876
light,subhygric mature,C3,G100,12,1,1,29.98650911
light,subhygric mature,C3,G100,12,2,121,29.9940018
light,subhygric mature,C3,G100,12,3,241,29.87923317
light,subhygric mature,C3,F100,13,1,34,29.299334
light,subhygric mature,C3,F100,13,2,154,29.27265931
light,subhygric mature,C3,F100,13,3,274,29.85111571
heavy,submesic mature,B3,F300,14,1,108,29.98650911
heavy,submesic mature,B3,F300,14,2,228,29.82013068
heavy,submesic mature,B3,F300,14,3,348,30
light,mesic oldgrowth,D5,D200,15,1,278,29.90445836
light,mesic oldgrowth,D5,D200,15,2,38,29.98650911
light,mesic oldgrowth,D5,D200,15,3,158,29.78630515
light,mesic oldgrowth,D5,G200,17,1,238,29.92676901
light,mesic oldgrowth,D5,G200,17,2,358,29.9940018
light,mesic oldgrowth,D5,G200,17,3,118,29.9940018
heavy,submesic mature,B3,L000,18,1,37,29.66809059
heavy,submesic mature,B3,L000,18,2,157,29.41742027
heavy,submesic mature,B3,L000,18,3,277,29.78630515
heavy,submesic mature,B3,K050,19,1,97,29.41742027
heavy,submesic mature,B3,K050,19,2,217,29.94614536
heavy,submesic mature,B3,K050,19,3,337,29.74966852
light,submesic mature,A2,B150,20,1,219,28.73478856
light,submesic mature,A2,B150,20,2,339,29.92676901
light,submesic mature,A2,B150,20,3,99,29.78630515
light,submesic mature,A2,D200,21,1,298,29.94614536
light,submesic mature,A2,D200,21,2,58,29.97602876
light,submesic mature,A2,D200,21,3,178,29.96257017
light,submesic mature,A2,F100,22,1,175,29.98650911
light,submesic mature,A2,F100,22,2,295,29.90445836
light,submesic mature,A2,F100,22,3,55,29.78630515
light,submesic mature,A2,G000,23,1,233,29.7102524
light,submesic mature,A2,G000,23,2,353,29.98650911
light,submesic mature,A2,G000,23,3,113,29.14404909
heavy,subhygric mature,B2,B000,24,1,75,29.04569788
heavy,subhygric mature,B2,B000,24,2,195,29.41742027
heavy,subhygric mature,B2,B000,24,3,315,29.66809059
heavy,subhygric mature,B2,C150,25,1,249,28.40318234
heavy,subhygric mature,B2,C150,25,2,9,29.94614536
heavy,subhygric mature,B2,C150,25,3,129,29.87923317
light,submesic mature,A2,L000,26,1,343,29.7102524
light,submesic mature,A2,L000,26,2,103,29.94614536
light,submesic mature,A2,L000,26,3,223,29.99850011
heavy,subhygric mature,B2,G150,27,1,295,28.96287248
heavy,subhygric mature,B2,G150,27,2,55,28.21985269
heavy,subhygric mature,B2,G150,27,3,175,28.57272442
heavy,subhygric mature,B2,E050,28,1,118,29.78630515
heavy,subhygric mature,B2,E050,28,2,238,28.57272442
heavy,subhygric mature,B2,E050,28,3,358,29.96257017
noharvest,mesic mature,C1,D100,29,1,210,29.299334
noharvest,mesic mature,C1,D100,29,2,330,29.9940018
noharvest,mesic mature,C1,D100,29,3,90,29.96257017
noharvest,mesic mature,C1,K050,30,1,120,29.94614536
noharvest,mesic mature,C1,K050,30,2,240,29.98650911
noharvest,mesic mature,C1,K050,30,3,0,29.9940018
noharvest,mesic mature,C1,H200,31,1,99,29.96257017
noharvest,mesic mature,C1,H200,31,2,219,29.96257017
noharvest,mesic mature,C1,H200,31,3,339,29.99850011
noharvest,mesic mature,C1,G400,32,1,176,29.5756754
noharvest,mesic mature,C1,G400,32,2,296,29.94614536
noharvest,mesic mature,C1,G400,32,3,56,29.47273355
noharvest,mesic mature,C1,E200,33,1,3,29.9940018
noharvest,mesic mature,C1,E200,33,2,123,29.92676901
noharvest,mesic mature,C1,E200,33,3,243,30
light,mesic mature,B5,C000,34,1,91,29.2366556
light,mesic mature,B5,C000,34,2,211,29.37667775
light,mesic mature,B5,C000,34,3,331,28.73478856
light,mesic oldgrowth,D5,C350,35,1,313,29.98650911
light,mesic oldgrowth,D5,C350,35,2,73,29.5756754
light,mesic oldgrowth,D5,C350,35,3,193,29.82013068
light,mesic oldgrowth,D5,D400,36,1,205,29.98650911
light,mesic oldgrowth,D5,D400,36,2,325,29.9940018
light,mesic oldgrowth,D5,D400,36,3,85,29.92676901
light,mesic oldgrowth,D5,E100,37,1,288,29.90445836
light,mesic oldgrowth,D5,E100,37,2,48,29.7102524
light,mesic oldgrowth,D5,E100,37,3,168,29.97602876
light,mesic oldgrowth,D5,H000,38,1,38,29.97602876
light,mesic oldgrowth,D5,H000,38,2,158,29.9940018
light,mesic oldgrowth,D5,H000,38,3,278,29.92676901
light,mesic oldgrowth,D5,F250,39,1,280,29.85111571
light,mesic oldgrowth,D5,F250,39,2,40,29.87923317
light,mesic oldgrowth,D5,F250,39,3,160,29.90445836
noharvest,mesic oldgrowth,D3,G150,40,1,41,29.98650911
noharvest,mesic oldgrowth,D3,G150,40,2,161,29.66809059
noharvest,mesic oldgrowth,D3,G150,40,3,281,30
noharvest,mesic oldgrowth,D3,F550,41,1,42,29.3596049
noharvest,mesic oldgrowth,D3,F550,41,2,162,29.78630515
noharvest,mesic oldgrowth,D3,F550,41,3,282,29.92676901
noharvest,mesic oldgrowth,D3,D600,42,1,267,29.85111571
noharvest,mesic oldgrowth,D3,D600,42,2,27,29.82013068
noharvest,mesic oldgrowth,D3,D600,42,3,147,29.47273355
noharvest,mesic oldgrowth,D3,C350,43,1,214,27.85430073
noharvest,mesic oldgrowth,D3,C350,43,2,334,27.35764516
noharvest,mesic oldgrowth,D3,C350,43,3,94,26.93970905
heavy,mesic oldgrowth,D4,F250,44,1,130,29.90445836
heavy,mesic oldgrowth,D4,F250,44,2,250,29.9940018
heavy,mesic oldgrowth,D4,F250,44,3,10,29.9940018
heavy,mesic oldgrowth,D4,D050,45,1,200,28.96287248
heavy,mesic oldgrowth,D4,D050,45,2,320,29.90445836
heavy,mesic oldgrowth,D4,D050,45,3,80,29.97602876
heavy,mesic oldgrowth,D4,D500,46,1,327,29.28255441
heavy,mesic oldgrowth,D4,D500,46,2,87,29.9940018
heavy,mesic oldgrowth,D4,D500,46,3,207,29.97602876
heavy,mesic oldgrowth,D4,H000,47,1,105,29.90445836
heavy,mesic oldgrowth,D4,H000,47,2,225,29.97602876
heavy,mesic oldgrowth,D4,H000,47,3,345,29.9940018
heavy,mesic oldgrowth,D4,B150,48,1,297,29.94614536
heavy,mesic oldgrowth,D4,B150,48,2,57,29.97602876
heavy,mesic oldgrowth,D4,B150,48,3,177,29.9940018
heavy,mesic oldgrowth,D4,C000,49,1,164,29.41742027
heavy,mesic oldgrowth,D4,C000,49,2,284,29.78630515
heavy,mesic oldgrowth,D4,C000,49,3,44,29.104275
heavy,mesic oldgrowth,D4,C250,50,1,200,29.9940018
heavy,mesic oldgrowth,D4,C250,50,2,320,29.94614536
heavy,mesic oldgrowth,D4,C250,50,3,80,29.98650911
light,submesic mature,A2,J150,51,1,211,29.85111571
light,submesic mature,A2,J150,51,2,331,29.64906637
light,submesic mature,A2,J150,51,3,91,29.97602876
noharvest,subhygric mature,A4,G450,52,1,163,29.97602876
noharvest,subhygric mature,A4,G450,52,2,283,29.74966852
noharvest,subhygric mature,A4,G450,52,3,43,29.66111792
noharvest,subhygric mature,A4,C050,53,1,341,30
noharvest,subhygric mature,A4,C050,53,2,101,30
noharvest,subhygric mature,A4,C050,53,3,221,30
noharvest,subhygric mature,A4,I200,54,1,166,29.99850011
noharvest,subhygric mature,A4,I200,54,2,286,29.85111571
noharvest,subhygric mature,A4,I200,54,3,46,29.82013068
noharvest,subhygric mature,A4,H400,55,1,114,29.92676901
noharvest,subhygric mature,A4,H400,55,2,234,29.85111571
noharvest,subhygric mature,A4,H400,55,3,354,29.96257017
noharvest,subhygric mature,A4,F150,56,1,243,29.74966852
noharvest,subhygric mature,A4,F150,56,2,3,29.98650911
noharvest,subhygric mature,A4,F150,56,3,123,29.94614536
noharvest,mesic oldgrowth,D3,A100,57,1,18,29.9940018
noharvest,mesic oldgrowth,D3,A100,57,2,138,29.78630515
noharvest,mesic oldgrowth,D3,A100,57,3,258,29.85111571
heavy,submesic mature,B3,G200,58,1,252,29.71883367
heavy,submesic mature,B3,G200,58,2,12,29.94614536
heavy,submesic mature,B3,G200,58,3,132,29.97036361
heavy,subhygric mature,B2,J050,59,1,237,29.299334
heavy,subhygric mature,B2,J050,59,2,357,29.52549972
heavy,subhygric mature,B2,J050,59,3,117,29.55316028
heavy,subhygric mature,B2,D100,60,1,359,29.99850011
heavy,subhygric mature,B2,D100,60,2,119,29.96257017
heavy,subhygric mature,B2,D100,60,3,239,28.65471979
heavy,subhygric mature,B2,I300,61,1,26,29.78630515
heavy,subhygric mature,B2,I300,61,2,146,29.92117792
heavy,subhygric mature,B2,I300,61,3,266,29.7216466
light,subhygric mature,C3,E150,63,1,182,29.78630515
light,subhygric mature,C3,E150,63,2,302,29.92676901
light,subhygric mature,C3,E150,63,3,62,29.56458192
light,subhygric mature,C3,K000,64,1,210,29.78630515
light,subhygric mature,C3,K000,64,2,330,29.9940018
light,subhygric mature,C3,K000,64,3,90,29.92676901
light,subhygric mature,C3,F350,65,1,170,29.87923317
light,subhygric mature,C3,F350,65,2,290,29.85111571
light,subhygric mature,C3,F350,65,3,50,29.85111571
light,submesic mature,A2,G250,66,1,200,29.9940018
light,submesic mature,A2,G250,66,2,320,29.98650911
light,submesic mature,A2,G250,66,3,80,29.9940018
light,subhygric mature,C3,G350,62,1,112,29.90445836
light,subhygric mature,C3,G350,62,2,232,29.82013068
light,subhygric mature,C3,G350,62,3,352,29.7102524
noharvest,submesic mature,B1,A350,67,1,243,29.299334
noharvest,submesic mature,B1,A350,67,2,3,29.98650911
noharvest,submesic mature,B1,A350,67,3,123,29.41742027
noharvest,submesic mature,B1,A050,68,1,360,29.97602876
noharvest,submesic mature,B1,A050,68,2,120,29.66402543
noharvest,submesic mature,B1,A050,68,3,240,29.66809059
noharvest,submesic mature,B1,B300,69,1,174,28.99425487
noharvest,submesic mature,B1,B300,69,2,294,29.82075508
noharvest,submesic mature,B1,B300,69,3,54,29.0346752
noharvest,submesic mature,B1,G150,70,1,47,28.36648215
noharvest,submesic mature,B1,G150,70,2,167,29.9940018
noharvest,submesic mature,B1,G150,70,3,287,29.16558792
noharvest,submesic mature,B1,H050,71,1,173,29.78440689
noharvest,submesic mature,B1,H050,71,2,293,29.8733827
noharvest,submesic mature,B1,H050,71,3,53,29.51238358
light,mesic mature,B5,A000,72,1,136,29.69082814
light,mesic mature,B5,A000,72,2,256,29.66809059
light,mesic mature,B5,A000,72,3,16,29.52549972
light,mesic mature,B5,A200,73,1,306,29.91092314
light,mesic mature,B5,A200,73,2,66,29.85111571
light,mesic mature,B5,A200,73,3,186,29.66809059
light,mesic mature,B5,D400,74,1,222,29.7102524
light,mesic mature,B5,D400,74,2,342,29.82013068
light,mesic mature,B5,D400,74,3,102,29.98650911
light,mesic mature,B5,C300,75,1,197,29.85111571
light,mesic mature,B5,C300,75,2,317,30
light,mesic mature,B5,C300,75,3,77,30
light,mesic mature,B5,F300,76,1,97,29.74966852
light,mesic mature,B5,F300,76,2,217,29.74792971
light,mesic mature,B5,F300,76,3,337,29.66963679
light,mesic mature,B5,E150,77,1,175,29.81247268
light,mesic mature,B5,E150,77,2,295,29.97232274
light,mesic mature,B5,E150,77,3,55,29.74966852
clearcut,submesic mature,A1,G150,78,1,50,29.97304738
clearcut,submesic mature,A1,G150,78,2,170,29.96257017
clearcut,submesic mature,A1,G150,78,3,290,29.85111571
clearcut,submesic mature,A1,H100,79,1,360,29.52549972
clearcut,submesic mature,A1,H100,79,2,120,29.91092373
clearcut,submesic mature,A1,H100,79,3,240,29.9940018
clearcut,submesic mature,A1,D000,80,1,153,29.90445836
clearcut,submesic mature,A1,D000,80,2,273,29.78348425
clearcut,submesic mature,A1,D000,80,3,33,29.97602876
clearcut,submesic mature,A1,B150,81,1,101,29.39731445
clearcut,submesic mature,A1,B150,81,2,221,29.94614536
clearcut,submesic mature,A1,B150,81,3,341,29.82013068
clearcut,submesic mature,A1,A000,82,1,43,29.98352459
clearcut,submesic mature,A1,A000,82,2,163,29.104275
clearcut,submesic mature,A1,A000,82,3,283,29.62321896
clearcut,subhygric mature,A3,J050,83,1,277,29.81728116
clearcut,subhygric mature,A3,J050,83,2,157,29.9940018
clearcut,subhygric mature,A3,J050,83,3,37,29.96257017
clearcut,subhygric mature,A3,H000,84,1,64,29.90445836
clearcut,subhygric mature,A3,H000,84,2,184,29.97602876
clearcut,subhygric mature,A3,H000,84,3,304,29.28983858
clearcut,subhygric mature,A3,G050,85,1,318,29.78630515
clearcut,subhygric mature,A3,G050,85,2,198,28.70734262
clearcut,subhygric mature,A3,G050,85,3,78,29.36738894
clearcut,subhygric mature,A3,A100,86,1,353,29.96257017
clearcut,subhygric mature,A3,A100,86,2,233,29.41742027
clearcut,subhygric mature,A3,A100,86,3,113,29.90445836
clearcut,subhygric mature,A3,C100,87,1,193,29.94319956
clearcut,subhygric mature,A3,C100,87,2,313,29.51493779
clearcut,subhygric mature,A3,C100,87,3,173,29.90381516
clearcut,mesic mature,B4,D200,88,1,47,29.99850011
clearcut,mesic mature,B4,D200,88,2,167,29.99450311
clearcut,mesic mature,B4,D200,88,3,287,29.99850011
clearcut,mesic mature,B4,G000,89,1,250,29.70196469
clearcut,mesic mature,B4,G000,89,2,130,29.94614536
clearcut,mesic mature,B4,G000,89,3,10,29.94614536
clearcut,mesic mature,B4,D300,90,1,76,28.73478856
clearcut,mesic mature,B4,D300,90,2,196,29.97602876
clearcut,mesic mature,B4,D300,90,3,316,29.299334
clearcut,mesic mature,B4,H250,91,1,206,29.98801079
clearcut,mesic mature,B4,H250,91,2,326,39.99200959
clearcut,mesic mature,B4,H250,91,3,86,29.64380649
clearcut,mesic oldgrowth,D2,E300,92,1,242,29.87923317
clearcut,mesic oldgrowth,D2,E300,92,2,2,29.9940018
clearcut,mesic oldgrowth,D2,E300,92,3,122,29.96257017
clearcut,mesic oldgrowth,D2,C350,93,1,72,29.84506016
clearcut,mesic oldgrowth,D2,C350,93,2,192,29.9940018
clearcut,mesic oldgrowth,D2,C350,93,3,312,29.9940018
clearcut,mesic oldgrowth,D2,F050,94,1,323,29.87923317
clearcut,mesic oldgrowth,D2,F050,94,2,203,29.98501528
clearcut,mesic oldgrowth,D2,F050,94,3,83,29.96257017
clearcut,mesic oldgrowth,D2,C100,95,1,182,29.90445836
clearcut,mesic oldgrowth,D2,C100,95,2,302,29.78630515
clearcut,mesic oldgrowth,D2,C100,95,3,62,29.85111571
clearcut,mesic oldgrowth,D2,F150,96,1,181,29.93439108
clearcut,mesic oldgrowth,D2,F150,96,2,61,29.96257017
clearcut,mesic oldgrowth,D2,F150,96,3,1,29.85111571
clearcut,mesic mature,B4,C100,97,1,307,30
clearcut,mesic mature,B4,C100,97,2,197,29.99850011
clearcut,mesic mature,B4,C100,97,3,77,29.92676901
