Unit,Gd Pt,Plot Size,Plot,Size Cl,Hw,Cw,Sx,Pl,Bl,Ba,Ep,At,Ac,dead Hw,deadCw,deadSx,deadPl,deadBl,deadBa,deadEp,deadAt,deadAc,
C2,K000,3.99,S,0-1.3 m,6,2,1,,,,,,,,,,,,,,,,
C2,K100,2.52,I,0-4 cm,,2,,,2,,,,,,,,,,,,,,
C2,K100,2.52,S,0-1.3 m,,2,,,,,,,,,,,,,,,,,
C2,K250,3.99,I,0-4 cm,7,,,,,,,,,,,,,,,,,,
C2,K250,3.99,S,0-1.3 m,27,1,3,,,,,,,,,,,,,,,,
C2,L000,2.52,I,0-4 cm,1,3,3,,,,,,,,,,,,,,,,
C2,L000,2.52,S,0-1.3 m,0,2,1,,,,,,,,,,,,,,,,
C2,L100,3.99,I,0-4 cm,4,3,1,,,,,,,,,,,,,,,,
C2,L100,3.99,S,0-1.3 m,2,1,,,,,,,,,,,,,,,,,
C3,A000,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,A000,2.52,S,0-1.3 m,16,,,,,,,,,,,,,,,,,,
C3,B100,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,B100,2.52,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
C3,C000,1.26,I,0-4 cm,4,,,,1,,,,,1,,,,,,,,,
C3,C000,1.26,S,0-1.3 m,1,,,,,,,,,1,,,,,,,,,
C3,C100,2.52,I,0-4 cm,10,,,,,,,,,,,,,,,,,,
C3,C100,2.52,S,0-1.3 m,16,,1,,,,,,,,,,,,,,,,
C3,C200,2.52,I,0-4 cm,1,3,,,,,,,,,,,,,,,,,
C3,C200,2.52,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
C3,D000,1.26,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
C3,D000,1.26,S,0-1.3 m,14,,,,,,,,,,,,,,,,,,
C3,D100,2.52,I,0-4 cm,3,1,4,,,,,,,,,,,,,,,,
C3,D100,2.52,S,0-1.3 m,32,2,1,,,,,,,,,,,,,,,,
C3,D250,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,D250,3.99,S,0-1.3 m,24,1,3,,,,,,,,,,,,,,,,
C3,D350,0.8,I,0-4 cm,27,,1,,,,,,,,,,,,,,,,
C3,D350,0.8,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
C3,E050,3.99,I,0-4 cm,11,,,,,,,,,,,,,,,,,,
C3,E050,3.99,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
C3,E150,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,E150,2.52,S,0-1.3 m,11,1,,,,,,,,,,,,,,,,,
C3,E300,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,E300,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
C3,F100,3.99,I,0-4 cm,4,1,1,,,,,,,,,,,,,,,,
C3,F100,3.99,S,0-1.3 m,30,1,,,,,,,,,,,,,,,,,
C3,F250,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,F250,3.99,S,0-1.3 m,21,,,,,,,,,,,,,,,,,,
C3,F350,0.8,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
C3,F350,0.8,S,0-1.3 m,11,,,,,,,,,,,,,,,,,,
C3,G000,1.26,I,0-4 cm,3,3,,,,,,,,,,,,,,,,,
C3,G000,1.26,S,0-1.3 m,11,,1,,,,,,,,,,,,,,,,
C3,G100,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,G100,3.99,S,0-1.3 m,,4,,,,,,,,,,,,,,,,,
C3,G250,1.26,I,0-4 cm,7,,,,,,,,,,,,,,,,,,
C3,G250,1.26,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
C3,G350,2.52,I,0-4 cm,1,1,1,,,,,,,,,,,,,,,,
C3,G350,2.52,S,0-1.3 m,16,2,,,,,,,,,,,,,,,,,
C3,H000,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,H000,3.99,S,0-1.3 m,16,4,,,,,,,,,,,,,,,,,
C3,H100,3.99,I,0-4 cm,,1,,,,,,,,,,,,,,,,,
C3,H100,3.99,S,0-1.3 m,3,2,,,,,,,,,,,,,,,,,
C3,H200,3.99,I,0-4 cm,2,,,,,,,,,,,,,,,,,,
C3,H200,3.99,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
C3,H300,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,H300,2.52,S,0-1.3 m,2,,,,3,,,,,,,,,1,,,,,
C3,I000,1.26,I,0-4 cm,4,1,,,,,,,,,,,,,,,,,
C3,I000,1.26,S,0-1.3 m,8,,,,,,,,,,,,,,,,,,
C3,I150,3.99,I,0-4 cm,7,,1,,,,4,,,,,,2,,,,,,
C3,I150,3.99,S,0-1.3 m,31,4,,,,, ,,,,,,,,,,,,
C3,I300,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,I300,3.99,S,0-1.3 m,17,,,,,,,,,,,,,,,,,,
C3,J100,3.99,I,0-4 cm,3,,,,,,,,,,,,,,,,,,
C3,J100,3.99,S,0-1.3 m,36,,,,,,,,,,,,,,,,,,
C3,J250,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
C3,J250,3.99,S,0-1.3 m,,5,,,,,,,,,,,,,,,,,
C3,K000,3.99,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
C3,K000,3.99,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
C3,K100,3.99,I,0-4 cm,2,1,,,,,,,,,,,,,,,,,
C3,K100,3.99,S,0-1.3 m,41,,,,,,,,,,,,,,,,,,
D2,A050,2.52,I,0-4 cm,10,1,2,,, ,,,,,,,,,,,,,
D2,A050,2.52,S,0-1.3 m,3,4,,,,,,,,,,,,,,,,,
D2,A150,3.99,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D2,A150,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D2,B000,3.99,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D2,B000,3.99,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
D2,B100,3.99,I,0-4 cm,9,,1,,,,,,,,,,,,,,,,
D2,B100,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D2,B200,3.99,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
D2,B200,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
D2,C100,2.52,I,0-4 cm,2,,,,,,,,,,,,,,,,,,
D2,C100,2.52,S,0-1.3 m,1,1,1,,,,,,,,,,,,,,,,
D2,C200,2.52,I,0-4 cm,2,1,,,,,,,,,,,,,,,,,
D2,C200,2.52,S,0-1.3 m,2,2,,,,,,,,,,,,,,,,,
D2,C350,2.52,I,0-4 cm,,1,,,1,,,,,,,,,,,,,,
D2,C350,2.52,S,0-1.3 m,11,3,,,,,,,,,,,,,,,,,
D2,D000,2.52,I,0-4 cm,5,,,,,,,,,,,,,,,,,,
D2,D000,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D2,D200,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D2,D200,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D2,D300,2.52,I,0-4 cm,2,,,,,,,,,,,,,,,,,,
D2,D300,2.52,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
D2,D450,1.26,I,0-4 cm,3,,,,,,,,,,,,,,,,,,
D2,D450,1.26,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
D2,E000,2.52,I,0-4 cm,,5,,,,,,,,,,,,,,,,,
D2,E000,2.52,S,0-1.3 m,11,4,,,,,,,,,,,,,,,,,
D2,E100,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D2,E100,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D2,E200,3.99,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D2,E200,3.99,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
D2,E300,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D2,E300,2.52,S,0-1.3 m,3,,,,,,,,,,,,,,,,,,
D2,F150,3.99,I,0-4cm,10,1,,,,,,,,,,,,,,,,,
D2,F150,3.99,S,0-1.3 m,4,2,1,,,,,,,,,,,,,,,,
D2,F250,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D2,F250,2.52,S,0-1.3 m,3,1,1,,,,,,,,,,,,,,,,
D2,F350,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D2,F350,2.52,S,0-1.3 m,1,1,,,,,,,,,,,,,,,,,
D2,F050,3.99,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
D2,F050,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
D3,A100,1.26,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,A100,1.26,S,0-1.3 m,20,,,,,,,,,,,,,,,,,,
D3,B100,3.99,I,0-4 cm,21,,,,,11,,,,,,,,,,,,,
D3,B100,3.99,S,0-1.3 m,68,2,,,,4,,,,,,,,,,,,,
D3,B300,3.99,I,0-4 cm,5,,,,,,,,,,,,,,,,,,
D3,B300,3.99,S,0-1.3 m,3,,,,,1,,,,,,,,,,,,,
D3,B450,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,B450,3.99,S,0-1.3 m,49,,,,,2,,,,,,,,,,,,,
D3,C000,3.99,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D3,C000,3.99,S,0-1.3 m,13,,,,,,,,,1,,,,,,,,,
D3,C200,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,C200,3.99,S,0-1.3 m,7,,,,,19,,,,,,,,,,,,,
D3,C350,2.52,I,0-4 cm,,,,,,5,,,,,,,,,,,,,
D3,C350,2.52,S,0-1.3 m,1,4,,,,3,,,,,,,,,,,,,
D3,C550,1.78,I,0-4 cm,7,,,,,,,,,,,,,,,,,,
D3,C550,1.78,S,0-1.3 m,4,,,,,1,,,,,,,,,,,,,
D3,D200,3.99,I,0-4 cm,2,1,,,,,,,,,,,,,,,,,
D3,D200,3.99,S,0-1.3 m,17,,,,,,,,,,,,,,,,,,
D3,D350,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,D350,3.99,S,0-1.3 m,12,,,,,,,,,,,,,,,,,,
D3,D600,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,D600,2.52,S,0-1.3 m,12,,,,,,,,,,,,,,,,,,
D3,E250,2.52,I,0-4 cm,,,,,,1,,,,,,,,,,,,,
D3,E250,2.52,S,0-1.3 m,24,,,,,3,,,,,,,,,,,,,
D3,E400,3.99,I,0-4 cm,6,,,,,,,,,,,,,,,,,,
D3,E400,3.99,S,0-1.3 m,1,,,,,1,,,,,,,,,,,,,
D3,E650,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,E650,3.99,S,0-1.3 m,11,,,,,3,,,,,,,,,,,,,
D3,F200,3.99,I,0-4 cm,25,,,,,,,,,,,,,,,,,,
D3,F200,3.99,S,0-1.3 m,2,,,,,,,,,5,,,,,,,,,
D3,F400,3.99,I,0-4 cm,,1,,,,,,,,,,,,,,,,,
D3,F400,3.99,S,0-1.3 m,,5,,,,,,,,,,,,,,,,,
D3,F550,3.99,I,0-4 cm,2,,,,,,,,,,,,,,,,,,
D3,F550,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D3,G000,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,G000,3.99,S,0-1.3 m,44,,,,,29,,,,3,,,,,,,,,
D3,G150,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,G150,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D3,G300,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D3,G300,3.99,S,0-1.3 m,13,,,,,4,,,,,,,,,,,,,
D4,A050,1.26,I,0-4 cm,23,,,,,,,,,,,,,,,,,,
D4,A050,1.26,S,0-1.3 m,5,,,,,,,,,,,,,,,,,,
D4,B050,2.52,I,0-4 cm,,,,,,1,,,,,,,,,,,,,
D4,B050,2.52,S,0-1.3 m,6,9,,,,3,,,,,,,,,,,,,
D4,B150,2.52,I,0-4 cm,5,,,,,,,,,1,,,,,,,,,
D4,B150,2.52,S,0-1.3 m,2,4,,,,,,,,,,,,,,,,,
D4,B250,3.99,I,0-4 cm,14,,,,1,,,,,,,,,,,,,,
D4,B250,3.99,S,0-1.3 m,6,,,,,,,,,,,,,,,,,,
D4,C000,1.78,I,0-4 cm,NA,,,,,,,,,,,,,,,,,,** see plot notes
D4,C000,1.78,S,0-1.3 m,NA,,,,,,,,,,,,,,,,,,"pin not found, did not measure"
D4,C150,3.99,I,0-4 cm,,2,,,,,,,,,,,,,,,,,
D4,C150,3.99,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
D4,C250,1.78,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
D4,C250,1.78,S,0-1.3 m,6,,,,,,,,,,,,,,,,,,
D4,C350,1.26,I,0-4 cm,7,,,,,,,,,,,,,,,,,,
D4,C350,1.26,S,0-1.3 m,,3,,,,,,,,,,,,,,,,,
D4,D050,1.78,I,0-4 cm,3,,,,,,,,,1,,,,,,,,,
D4,D050,1.78,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D4,D150,2.52,I,0-4 cm,6,,1,,,,,,,,,,,,,,,,
D4,D150,2.52,S,0-1.3 m,23,3,1,,,,,,,,,,,,,,,,
D4,D250,1.78,I,0-4 cm,3,,,,,,,,,,,,,,,,,,
D4,D250,1.78,S,0-1.3 m,23,,,,,,,,,,,,,,,,,,
D4,D350,3.99,I,0-4 cm,7,,,,,,,,,,,,,,,,,,
D4,D350,3.99,S,0-1.3 m,16,,1,,,,,,,,,,,,,,,,
D4,D500,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D4,D500,3.99,S,0-1.3 m,1,,,,,1,,,,,,,,,,,,,
D4,E000,1.78,I,0-4 cm,3,1,,,,,,,,,,,,,,,,,
D4,E000,1.78,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D4,E100,1.78,I,0-4 cm,7,,,,,,,,,,,,,,,,,,
D4,E100,1.78,S,0-1.3 m,32,,,,,,,,,,,,,,,,,,
D4,E200,2.52,I,0-4 cm,6,1,,,,,,,,,,,,,,,,,
D4,E200,2.52,S,0-1.3 m,7,,1,,,,,,,,,,,,,,,,
D4,E300,2.52,I,0-4 cm,12,,,,,,,,,,,,,,,,,,
D4,E300,2.52,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
D4,E400,1.26,I,0-4 cm,9,,,,,,,,,,,,,,,,,,
D4,E400,1.26,S,0-1.3 m,15,,,,,,,,,,,,,,,,,,
D4,E500,2.52,I,0-4 cm,14,,,,,,,,,,,,,,,,,,
D4,E500,2.52,S,0-1.3 m,18,,,,,,,,,,,,,,,,,,
D4,E600,1.78,I,0-4 cm,6,1,,,,,,,,,,,,,,,,,
D4,E600,1.78,S,0-1.3 m, ,,,,,,,,,,,,,,,,,,
D4,F050,2.52,I,0-4 cm,8,,,,,,,,,1,,,,,,,,,
D4,F050,2.52,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
D4,F150,1.78,I,0-4 cm,3,1,,,,,,,,,,,,,,,,,
D4,F150,1.78,S,0-1.3 m,14,,,,,,,,,,,,,,,,,,
D4,F250,3.99,I,0-4 cm,1,,1,,,,,,,,,,,,,,,,
D4,F250,3.99,S,0-1.3 m,,,1,,,,,,,,,,,,,,,,
D4,F350,1.26,I,0-4 cm,2,,,,,,,,,,,,,,,,,,
D4,F350,1.26,S,0-1.3 m,1,,1,,,,,,,,,,,,,,,,
D4,G050,2.52,I,0-4 cm,1,,1,,,2,,,,,,,,,,,,,
D4,G050,2.52,S,0-1.3 m,1,,,,,1,,,,,,,,,,,,,
D4,G150,2.52,I,0-4 cm,19,,1,,,,,,,,,,,,,,,,
D4,G150,2.52,S,0-1.3 m,7,,,,,,,,,,,,,,,,,,
D4,G250,2.52,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
D4,G250,2.52,S,0-1.3 m,48,,,,,,,,,,,,,,,,,,
D4,G350,2.52,I,0-4 cm,9,,,,,,,,,,,,,,,,,,
D4,G350,2.52,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
D4,H000,1.78,I,0-4 cm,5,,,,,,,,,,,,,,,,,,
D4,H000,1.78,S,0-1.3 m,5,2,,,,,,,,,1,,,,,,,,
D4,H100,3.99,I,0-4 cm,6,,,,,,,,,,,,,,,,,,
D4,H100,3.99,S,0-1.3 m,,,,,,,,,,,,,,,,,,,
D5,A050,0.8,I,0-4 cm,13,,,,,,,,,,,,,,,,,,
D5,A050,0.8,S,0-1.3 m,15,,,,,,,,,,,,,,,,,,
D5,A150,1.78,I,0-4 cm,3,,,,,,,,,,,,,,,,,,
D5,A150,1.78,S,0-1.3 m,4,1,,,,,,,,,,,,,,,,,
D5,A250,2.52,I,0-4 cm,2,,,,,1,,,,,,,,,,,,,
D5,A250,2.52,S,0-1.3 m,2,2,,,,,,,,,,,,,,,,,
D5,B100,1.78,I,0-4 cm,2,,1,,,,,,,,,,,,,,,,
D5,B100,1.78,S,0-1.3 m,7,,,,20,,,,,,,,,,,,,,
D5,B450,2.52,I,0-4 cm,0,,,,,,,,,,,,,,,,,,
D5,B450,2.52,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
D5,C050,0.8,I,0-4 cm, ,,,,3,,,,,,,,,,,,,,
D5,C050,0.8,S,0-1.3 m,7,,,,,,,,,,,,,,,,,,
D5,C150,1.26,I,0-4 cm,18,,,,,6,,,,,,,,,,,,,
D5,C150,1.26,S,0-1.3 m,3,,,,,5,,,,,,,,,,,,,
D5,C250,2.52,I,0-4 cm,6,,,,,1,,,,,,,,,,,,,
D5,C250,2.52,S,0-1.3 m,6,,,,,1,,,,,,,,,,,,,
D5,C350,3.99,I,0-4 cm,14,,,,,5,,,,,,,,,,,,,
D5,C350,3.99,S,0-1.3 m,4,1,,,,13,,,,,,,,,,,,,
D5,C450,3.99,I,0-4 cm,4,,,,,2,,,,,,,,,,,,,
D5,C450,3.99,S,0-1.3 m,27,,,,,1,,,,,,,,,,,,,
D5,D000,1.26,I,0-4 cm,3,,,,2,,,,,,,,,,,,,,
D5,D000,1.26,S,0-1.3 m,6,,,,8,,,,,,,,,,,,,,
D5,D100,0.8,I,0-4 cm,8,,,,,1,,,,,,,,,,,,,
D5,D100,0.8,S,0-1.3 m,2,,,,,1,,,,,,,,,,,,,
D5,D200,0.8,I,0-4 cm,12,,,,,,,,,,,,,,,,,,
D5,D200,0.8,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
D5,D300,3.99,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D5,D300,3.99,S,0-1.3 m,37,,,,,,,,,,,,,,,,,,
D5,D400,2.52,I,0-4 cm,4,,,,,,,,,,,,,,,,,,
D5,D400,2.52,S,0-1.3 m,56,,,,,1,,,,,,,,,,,,,
D5,E000,2.52,I,0-4 cm,2,,,,,1,,,,,,,,,,,,,
D5,E000,2.52,S,0-1.3 m,5,,,,,,,,,,,,,,,,,,
D5,E100,1.78,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D5,E100,1.78,S,0-1.3 m,23,3,,,,4,,,,,,,,,,,,,
D5,E200,1.26,I,0-4 cm,5,,1,,,,,,,,,,,,,,,,
D5,E200,1.26,S,0-1.3 m,16,,,,,5,,,,,,,,,,,,,
D5,E300,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D5,E300,2.52,S,0-1.3 m,9,3,,,,3,,,,,,,,,,,,,
D5,E400,2.52,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D5,E400,2.52,S,0-1.3 m,29,,,,,2,,,,,,,,,,,,,
D5,F050,2.52,I,0-4 cm,2,,,,,1,,,,,,,,,,,,,
D5,F050,2.52,S,0-1.3 m,30,,2,,,3,,,,,,,,,,,,,
D5,F150,2.52,I,0-4 cm,1,, ,,, ,,,,,,,,,,,,,
D5,F150,2.52,S,0-1.3 m,11,,,,,11,,,,,,,,,,,,,
D5,F250,2.52,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D5,F250,2.52,S,0-1.3 m,7,,,,,25,,,,,,,,,,,,,
D5,F350,1.78,I,0-4 cm,3,,,,3,,,,,,,,,,,,,,
D5,F350,1.78,S,0-1.3 m,6,,,,7,,,,,,,,,,,,,,
D5,G000,2.52,I,0-4 cm,6,,,,,,,,,3,,,,,,,,,
D5,G000,2.52,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
D5,G100,1.26,I,0-4 cm,,,,,,,,,,,,,,,,,,,
D5,G100,1.26,S,0-1.3 m,48,1,,,,16,,,,,,,,,,,,,
D5,G200,2.52,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D5,G200,2.52,S,0-1.3 m,31,,,,,,,,,,,,,,,,,,
D5,G300,1.78,I,0-4 cm,1,,,,,,,,,,,,,,,,,,
D5,G300,1.78,S,0-1.3 m,9,,,,,14,,,,,,,,,,,,,
D5,H000,3.99,I,0-4 cm,7,,1,,,2,,,,,,,,,,,,,
D5,H000,3.99,S,0-1.3 m,20,,,,,,,,,,,,,,,,,,
D5,H100,1.78,I,0-4 cm,4,,,,,6,,,,,,,,,,,,,
D5,H100,1.78,S,0-1.3 m,5,,,,,6,,,,,,,,,,,,,
