TRT,BLK,Site,Unit,Gd Pt,Plot Size,factor,Size Cl,Species,Dmin,Dmax ,Dave
4,2,3,A1,B150,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,3,A1,B150,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,5,A1,C250,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
4,2,5,A1,C250,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,7,A1,D000,1.78,0.5,10.1-15cm,Pl,10.1,15,12.55
4,2,8,A1,D100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,8,A1,D100,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,2,8,A1,D100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,9,A1,D200,1.26,1,10.1-15cm,Sx,10.1,15,12.55
4,2,11,A1,E150,1.26,1,10.1-15cm,Pl,10.1,15,12.55
4,2,12,A1,E250,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,2,13,A1,F050,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,19,A1,H100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,19,A1,H100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,20,A1,H200,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,20,A1,H200,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,2,20,A1,H200,2.52,0.2,15.1-20cm,Sx,15.1,20,17.55
4,4,56,A3,D200,2.52,0.2,15.1-20cm,Sx,15.1,20,17.55
4,4,56,A3,D200,2.52,0.2,15.1-20cm,Pl,15.1,20,17.55
4,4,58,A3,E050,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,4,58,A3,E050,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,4,58,A3,E050,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,4,60,A3,F100,1.26,1,10.1-15cm,Sx,10.1,15,12.55
4,4,388,A3,G050,1.26,1,10.1-15cm,Pl,10.1,15,12.55
4,4,61,A3,G350,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,4,61,A3,G350,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,4,61,A3,G350,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,4,992,A3,H200,2.52,0.2,15.4 cm,Pl,,,15.4
4,4,992,A3,H200,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
4,4,993,A3,I100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,4,63,A3,I350,1.26,1,10.1-15cm,Sx,10.1,15,12.55
4,4,65,A3,J300,2.52,0.2,18 cm,Sx,,,18
4,3,166,B4,B050,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
4,3,168,B4,C100,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,3,168,B4,C100,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,3,170,B4,D050,1.78,0.5,10.1-15cm,Sx,10.1,15,12.55
4,3,171,B4,D200,1.78,0.5,15.1-20cm,Sx,15.1,20,17.55
4,3,173,B4,E150,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,173,B4,E150,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,174,B4,E250,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,3,391,B4,F100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,391,B4,F100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,391,B4,F100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,175,B4,F200,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,178,B4,G200,1.78,0.5,10.1-15cm,Sx,10.1,15,12.55
4,3,179,B4,G300,1.78,0.5,10.1-15cm,Hw,10.1,15,12.55
4,3,179,B4,G300,1.78,0.5,10.1-15cm,Pl,10.1,15,12.55
4,3,393,B4,H050,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,3,180,B4,H250,2.52,0.2,10.1-15cm,Cw,10.1,15,12.55
4,3,180,B4,H250,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,1,397,D2,A050,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,398,D2,A150,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,398,D2,A150,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,291,D2,B100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,291,D2,B100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,291,D2,B100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,291,D2,B100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,291,D2,B100,3.99,0.1,10.1-15cm,Sx,10.1,15,12.55
4,1,291,D2,B100,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,292,D2,B200,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,293,D2,C100,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,1,293,D2,C100,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,399,D2,C200,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
4,1,399,D2,C200,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,295,D2,D000,2.52,0.2,10.1-15cm,Sx,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,300,D2,E100,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Hw,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Sx,10.1,15,12.55
4,1,301,D2,E200,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,303,D2,F050,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,303,D2,F050,3.99,0.1,10.1-15cm,Pl,10.1,15,12.55
4,1,402,D2,F250,2.52,0.2,10.1-15cm,Pl,10.1,15,12.55
4,1,402,D2,F250,2.52,0.2,10.1-15cm,Hw,10.1,15,12.55
