Unit,Gd Pt,Plot Size,Plot,Size Cl,Hw,Cw,Sx,Pl,Bl,Ba,Ep,At,Ac,dead Hw,deadCw,deadSx,deadPl,deadBl,deadBa,deadEp,deadAt,deadAc,Comments
B5,C150,1.78,S,0-1.3 m,18,1,,,,,,,,,,,,,,,,,
B5,C300,1.78,I,0-5cm,2,,,,,,,,,,1,,,,,,,,
B5,C300,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
B5,C300,1.78,S,0-1.3 m,17,,,,,,,,,,,,,,,,,,
B5,D050,1.78,I,0-5cm,0,,,,,,,,,,,,,,,,,,
B5,D050,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
B5,D050,1.78,S,0-1.3 m,27,,,,,,,,,,,,,,,,,,
B5,D150,3.99,I,0-5cm,,1,,,,,,,,,2,,,,,,,,Cw is horizontal
B5,D150,3.99,I,5.1-10cm,,2,,,,,,,,,3,,,,,,,,
B5,D150,3.99,S,0-1.3 m,10,2,,,,,,,,,,,,,,,,,
B5,D250,1.78,I,0-5cm,8,,,,,,,,,,1,,,,,,,,
B5,D250,1.78,I,5.1-10cm,3,1,,,,,,,,,,,,,,,,,
B5,D250,1.78,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
B5,D400,3.99,I,0-5cm,,2,1,,,,,,,,7,,,,,,,,
B5,D400,3.99,I,5.1-10cm,,8,,,,,,,,1,1,,,,,,,,
B5,D400,3.99,S,0-1.3 m,2,1,,,,,,,,,,,,,,,,,
B5,E050,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
B5,E050,2.52,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
B5,E050,2.52,S,0-1.3 m,19,,,,,,,,,,,,,,,,,,
B5,E150,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
B5,E150,3.99,I,5.1-10cm,,4,,,,,,,,,,,,,,,,,
B5,E150,3.99,S,0-1.3 m,10,3,1,,,,,,,,,,,,,,,,
B5,E300,2.52,I,0-5cm,2,2,,,,,,,,,,,,,,,,,
B5,E300,2.52,I,5.1-10cm,1,1,,,,,,,,,,,,,,,,,
B5,E300,2.52,S,0-1.3 m,9,8,,,,,,,,5,,,,,,,,,A value of 54 was recorded in the original data.  This is unlikely to be the case and should probably be either a 5 or a 4.
B5,E450,1.78,I,0-5cm,2,,,,,,,,,,,,,,,,,,
B5,E450,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
B5,E450,1.78,S,0-1.3 m,26,,1,,,,,,,,,,,,,,,,
B5,F000,3.99,I,0-5cm,,10,,,,,,,,,,,,,,,,,2 Cw horizontal
B5,F000,3.99,I,5.1-10cm,1,1,,,,,,,,,,,,,,,,,
B5,F000,3.99,S,0-1.3 m,4,11,,1,,,,,,,1,,,,,,,,
B5,F100,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
B5,F100,3.99,I,5.1-10cm,,1,,,,,,,,,1,,,,,,,,
B5,F100,3.99,S,0-1.3 m,3,2,,,,,,,,,,,,,,,,,
B5,F200,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
B5,F200,3.99,I,5.1-10cm,,3,,,,,,,,,1,,,,,,,,
B5,F200,3.99,S,0-1.3 m,,1,,,,,,,,,,,,,,,,,
B5,F300,2.52,I,0-5cm,1,,,,,,,,,,1,,,,,,,,
B5,F300,2.52,I,5.1-10cm,,2,,,,,,,,,,,,,,,,,
B5,F300,2.52,S,0-1.3 m,35,4,,,,,,,,,,,,,,,,,
B5,F400,3.99,I,0-5cm,1,,,,,,1,,,,,,,,,,,,
B5,F400,3.99,I,5.1-10cm,2,,,,,,,,,,,,,,,,,,
B5,F400,3.99,S,0-1.3 m,3,4,,,,,,,,,,,,,,,,,
B5,G100,3.99,I,0-5cm,,4,,,,,,,,,1,,,,,,,,
B5,G100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
B5,G100,3.99,S,0-1.3 m,1,5,,,,1,,,,,,,,,,,,,
B5,G200,3.99,I,0-5cm,,5,1,,,,,,,,,,,,,,,,4 Cw are horizontal
B5,G200,3.99,I,5.1-10cm,1,3,,,,,,,,,1,,,,,,,,
B5,G200,3.99,S,0-1.3 m,,4,1,,,,,,,3,1,,,,,,,,
B5,G300,3.99,I,0-5cm,,6,,,,,,,,,1,,,,,,,,1 Cw is horizontal 
B5,G300,3.99,I,5.1-10cm,3,4,,,,,,,,,,,,,,,,,
B5,G300,3.99,S,0-1.3 m,,2,,,,,,,,,,,,,,,,,
B5,G400,2.52,I,0-5cm,3,,,,1,,,,,,,,,,,,,,
B5,G400,2.52,I,5.1-10cm,1,,,,,,,,,,,,,,,,,,
B5,G400,2.52,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
B5,H000,3.99,I,0-5cm,,3,,,,,,,,,4,,,,,,,,1 Cw is horizontal
B5,H000,3.99,I,5.1-10cm,,2,,,,,,,,1,1,,,,,,,,
B5,H000,3.99,S,0-1.3 m,,2,,,,,,,,,,,,,,,,,
B5,H100,3.99,I,0-5cm,1,,,,,,,,,,,,,,,,,,
B5,H100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
B5,H100,3.99,S,0-1.3 m,,2,,,,,,,,,,,,,,,,,
B5,H200,1.26,I,0-5cm,1,1,,,,,2,,1,,,,,,,,,,
B5,H200,1.26,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
B5,H200,1.26,S,0-1.3 m,20,5,,,,,,,,,,,,,,,,,
B5,H300,3.99,I,0-5cm,,3,,,,,,,,,,,,,,,,,1 Cw is horizontal
B5,H300,3.99,I,5.1-10cm,1,3,,,,,,,,,,,,,,,,,
B5,H300,3.99,S,0-1.3 m,,1,,,,,,,,,1,,,,,,,,
C1,B100,3.99,I,0-5cm,0,,,,,,,,,1,,,,,,,,,See large tree plot for GPS coordinates
C1,B100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,B100,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
C1,C000,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,C000,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,C000,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,1 if trees 10 to 15 cm in ht included
C1,D100,3.99,I,0-5cm,0,1,,,,,,,,,,,,,,,,,snake like Cw
C1,D100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,D100,3.99,S,0-1.3 m,3,1,,,,1,,,,,,,,,,,,,15 if trees 10 to 15 cm in ht included
C1,E050,3.99,I,0-5cm,0,,,,,1,,,,,,,,,,,,,
C1,E050,3.99,I,5.1-10cm,1,,,,,,,,,1,,,,,,,,,
C1,E050,3.99,S,0-1.3 m,21,2,,,,,,,,3,,,,,,,,,45 if >10 included
C1,E200,3.99,I,0-5cm,0,1,,,,,,,,,,,,,,,,,
C1,E200,3.99,I,5.1-10cm,0,,,,,,,,,1,,,,,,,,,
C1,E200,3.99,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,9 if >10 included
C1,F000,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,no regen dead or alive
C1,F000,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,F000,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
C1,F150,3.99,I,0-5cm,0,,,,,,,,,2,,,,,,,,,
C1,F150,3.99,I,5.1-10cm,0,,,,,,,,,1,,,,,,,,,
C1,F150,3.99,S,0-1.3 m,3,,,,,,,,,,,,,,,,,,4 if >10 included
C1,F350,3.99,I,0-5cm,7,,,,,,,,,,,,,,,,,,
C1,F350,3.99,I,5.1-10cm,1,1,,,,,,,,2,,,,,,,,,
C1,F350,3.99,S,0-1.3 m,15,,1,,,,,,,,,,,,,,,,41 if >10 included
C1,G050,3.99,I,0-5cm,1,,,,,,,,,3,,,,,,,,,
C1,G050,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,G050,3.99,S,0-1.3 m,1,,,,,,,,,2,,,,,,,,,
C1,G250,3.99,I,0-5cm,0,,,,,,,,,1,,,,,,,,,
C1,G250,3.99,I,5.1-10cm,0,,,,,,,,,,1,,,,,,,,
C1,G250,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,3 if > 10 included
C1,G400,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,G400,3.99,I,5.1-10cm,0,,,,,,,,,,1,,,,,,,,
C1,G400,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,4 if >10 included
C1,H050,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,H050,3.99,I,5.1-10cm,0,,,,,,,,,1,,,,,,,,,
C1,H050,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,2 if >10 included
C1,H200,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,H200,3.99,I,5.1-10cm,0,1,,,,,,,,,,,,,,,,,
C1,H200,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,3 if >10 included
C1,H350,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,H350,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,H350,3.99,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
C1,I100,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
C1,I100,3.99,I,5.1-10cm,1,,,,,,,,,1,,,,,,,,,
C1,I100,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,
C1,I250,3.99,I,0-5cm,0,,,,,,,,,1,,,,,,,,,
C1,I250,3.99,I,5.1-10cm,0,,,,,,,,,4,1,,,,,,,,
C1,I250,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
C1,J000,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,J000,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,J000,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,5 if >10 included
C1,J150,1.78,I,0-5cm,1,,,,,,,,,,,,,,,,,,
C1,J150,1.78,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,J150,1.78,S,0-1.3 m,5,1,,,,2,,,,,,,,,,,,,
C1,K050,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,K050,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,K050,3.99,S,0-1.3 m,8,,,,,,,,,,,,,,,,,,10 if >10 included
C1,L050,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C1,L050,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C1,L050,3.99,S,0-1.3 m,10,,,,,,,,,,,,,,,,,,21 if >10 included
C2,B050,1.26,I,0-5cm,,,2,,,,1,,,,,,,,,,,,See large tree plots for GPS coordinates
C2,B050,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,B050,1.26,S,0-1.3 m,7,4,3,,1,,,,,,,,,,,,,,
C2,C150,0.8,I,0-5cm,4,,,1,,,,,,,,,,,,,,,
C2,C150,0.8,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,C150,0.8,S,0-1.3 m,3,,,,,,,,,,,,,,,,,,
C2,D000,1.26,I,0-5cm,1,,2,,,,,,,,,,,,,,,,
C2,D000,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,D000,1.26,S,0-1.3 m,3,2,1,,,,,,,,,,,,,,,,
C2,D150,2.52,I,0-5cm,3,,,,,,,,,,,,,,,,,,
C2,D150,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,D150,2.52,S,0-1.3 m,7,3,2,,1,1,,,,,,,,,,,,,
C2,E050,3.99,I,0-5cm,,,,,,,,,,,,,,,,,,,
C2,E050,3.99,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
C2,E050,3.99,S,0-1.3 m,9,,1,,,,,,,,,,,,,,,,
C2,E150,0.8,I,0-5cm,2,,2,,,,,,,,,,,,,,,,
C2,E150,0.8,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,E150,0.8,S,0-1.3 m,2,1,,,,,,,,,,,,,,,,,
C2,E250,1.26,I,0-5cm,,1,,,,,,,,,,,,,,,,,
C2,E250,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,E250,1.26,S,0-1.3 m,8,9,,,,,,,,,,,,,,,,,
C2,F000,1.26,I,0-5cm,1,,,,,,,,,,,,,,,,,,
C2,F000,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,F000,1.26,S,0-1.3 m,5,2,2,,,,,,,,,,,,,,,,
C2,F150,2.52,I,0-5cm,1,,,,,,,,,,1,,,,,,,,
C2,F150,2.52,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,>45 degrees
C2,F150,2.52,S,0-1.3 m,15,0,3,,,,,,,,,,,,,,,,
C2,F300,1.26,I,0-5cm,,,,,,,5,,,,,,,,,,,,
C2,F300,1.26,I,5.1-10cm,,,1,,,,1,,,,,,,,,,,,
C2,F300,1.26,S,0-1.3 m,6,3,,,,,,,,,,,,,,,,,
C2,G050,1.26,I,0-5cm,1,,,,,,,,,,,,,,,,,,
C2,G050,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,G050,1.26,S,0-1.3 m,13,1,,,,,,,,,,,,,,,,,
C2,G200,1.26,I,0-5cm,,,1,,,,,,1,,,,1,,,,,,
C2,G200,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,G200,1.26,S,0-1.3 m,10,2,5,,1,,,,,,,,,,,,,,
C2,G300,0.8,I,0-5cm,,,,,,,2,,,,,,,,,,,,
C2,G300,0.8,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,G300,0.8,S,0-1.3 m,14,5,1,,,,,,,,,,,,,,,,
C2,H000,2.52,I,0-5cm,1,,,,,,,,,,,,,,,,,,
C2,H000,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,H000,2.52,S,0-1.3 m,27,,2,,,,,,,,,,,,,,,,
C2,H100,1.78,I,0-5cm,,,1,,,,,,,,,,,,,,,,
C2,H100,1.78,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,H100,1.78,S,0-1.3 m,21,5,12,,,1,,,,,,,,,,,,,
C2,H250,0.8,I,0-5cm,5,1,,,,,,,,,,,,,,,,,
C2,H250,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,H250,0.8,S,0-1.3 m,20,3,2,,,,,,,,,,,,,,,,
C2,H350,0.8,I,0-5cm,3,,,,,,,,,,,,,,,,,,
C2,H350,0.8,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,H350,0.8,S,0-1.3 m,11,4,8,,,1,,,,,,,,,,,,,
C2,I100,2.52,I,0-5cm,,1,,,,,,1,,,,,,,,,,,
C2,I100,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,I100,2.52,S,0-1.3 m,2,3,,,,,,1,,,,,,,,,,,
C2,I200,3.99,I,0-5cm,,,1,,,,2,,,1,,,,,,,,,
C2,I200,3.99,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,I200,3.99,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
C2,I300,2.52,I,0-5cm,,2,1,,,,,,,,,,,,,,,,
C2,I300,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,I300,2.52,S,0-1.3 m,4,17,7,,,,,,,,,,,,,,,,
C2,I450,1.78,I,0-5cm,6,1,,,,,1,,1,,,,,,,,,,
C2,I450,1.78,I,5.1-10cm,,,,1,,,,,,,,,,,,,,,
C2,I450,1.78,S,0-1.3 m,6,6,1,,,,,,,,,,,,,,,,
C2,J050,1.78,I,0-5cm,2,,,,,,3,,,,,,,,,,,,
C2,J050,1.78,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,J050,1.78,S,0-1.3 m,16,1,1,,,,2,,,,,,,,,,,,
C2,J200,2.52,I,0-5cm,,1,2,,1,,,,,,,,,,,,,,
C2,J200,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,J200,2.52,S,0-1.3 m,1,2,2,,,,,,,,,,,,,,,,
C2,J300,3.99,I,0-5cm,,1,,,,,,,,,,,,,,,,,
C2,J300,3.99,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
C2,J300,3.99,S,0-1.3 m,26,1,1,,,,,,,,,,,,,,,,
C2,J450,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C2,J450,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,J450,2.52,S,0-1.3 m,5,,3,,,,,,,,,,,,,,,,
C2,K000,3.99,I,0-5cm,2,2,,,1,,,,,2,,,,,,,,,
C2,K000,3.99,I,5.1-10cm,1,,,,,,,,,1,1,,,,,,,,
C2,K000,3.99,S,0-1.3 m,14,3,,,1,,,,,,,,,,,,,,
C2,K100,2.52,I,0-5cm,1,5,,,,,,,,,,,,,,,,,
C2,K100,2.52,I,5.1-10cm,1,3,,,,,,,,,,,,,,,,,
C2,K100,2.52,S,0-1.3 m,1,10,,,4,,,,,,1,,,,,,,,
C2,K250,3.99,I,0-5cm,1,,1,,,,,,,,,,,,,,,,lots of other small regen <15 cm tall
C2,K250,3.99,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,K250,3.99,S,0-1.3 m,10,,,,,,,,,,,,,,,,,,
C2,L000,2.54,I,0-5cm,1,,5,,,,,,,,,,,,,,,,
C2,L000,2.54,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C2,L000,2.54,S,0-1.3 m,7,3,4,,,,,,,,,,,,,,,,
C2,L100,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,"brushy site, equisetum/Opho"
C2,L100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C2,L100,3.99,S,0-1.3 m,6,3,4,,,,,,,,,,,,,,,,
C3,A000,2.52,I,0-5cm,0,,,,1,,,,,,,,,,,,,,See large tree plots for GPS coordinates
C3,A000,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,A000,2.52,S,0-1.3 m,25,,,,,,,,,2,,,,,,,,,
C3,B100,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C3,B100,2.52,I,5.1-10cm,0,,,,,,,,,2,,,,,,,,,
C3,B100,2.52,S,0-1.3 m,0,,,,,,,,,,,,,,,,,,
C3,C000,1.26,I,0-5cm,3,,,,,,,,,,,,,,,,,,
C3,C000,1.26,I,5.1-10cm,3,,,,,,,,,,,,,,,,,,
C3,C000,1.26,S,0-1.3 m,10,,,,,,,,,,,,,,,,,,
C3,C100,2.52,I,0-5cm,,,1,,,,,,,,,,,,,,,,
C3,C100,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,C100,2.52,S,0-1.3 m,19,,2,,,,,,,,,,,,,,,,
C3,C200,2.52,I,0-5cm,,2,,,,,,,,,,,,,,,,,
C3,C200,2.52,I,5.1-10cm,1,1,,,,,,,,,,,,,,,,,
C3,C200,2.52,S,0-1.3 m,8,,,,,,,,,,,,,,,,,,
C3,D000,1.26,I,0-5cm,3,,,,,,,,,,,,,,,,,,
C3,D000,1.26,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,D000,1.26,S,0-1.3 m,22,2,1,,,,,,,,,,,,,,,,
C3,D100,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C3,D100,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,D100,2.52,S,0-1.3 m,9,,,,,,,,,,,,,,,,,,
C3,D250,3.99,I,0-5cm,,,,,,,,,,1,,,,,,,,,
C3,D250,3.99,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,D250,3.99,S,0-1.3 m,17,1,3,,,,,,,2,,,,,,,,,
C3,D350,0.8,I,0-5cm,10,,,,,,,,,,,,,,,,,,
C3,D350,0.8,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,D350,0.8,S,0-1.3 m,19,,2,,,,,,,,,,,,,,,,
C3,E050,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C3,E050,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,E050,3.99,S,0-1.3 m,23,,,,,,,,,3,,,,,,,,,
C3,E150,2.52,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C3,E150,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,E150,2.52,S,0-1.3 m,9,1,,,,,2,,,,,,,,,,,,
C3,E300,3.99,I,0-5cm,0,,,,,,,,,1,,,,,,,,,
C3,E300,3.99,I,5.1-10cm,1,,,,,,,,,3,,,,,,,,,
C3,E300,3.99,S,0-1.3 m,2,,,,,,,,,,,,,,,,,,"unsure about 4 possible At, 1 is a clump, all tiny"
C3,F100,3.99,I,0-5cm,0,,1,,,,,,,,,,,,,,,,
C3,F100,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,F100,3.99,S,0-1.3 m,27,2,,,,,,,,,,,,,,,,,
C3,F250,3.99,I,0-5cm,1,,,,,,,,,,,,,,,,,,
C3,F250,3.99,I,5.1-10cm,2,,,,,,,,,,,,,,,,,,
C3,F250,3.99,S,0-1.3 m,4,,,,,,,,,,,,,,,,,,
C3,F350,0.8,I,0-5cm,,,2,,,,,,,,,,,,,,,,
C3,F350,0.8,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,F350,0.8,S,0-1.3 m,15,,5,,1,,,,,,,,,,,,,,
C3,G000,1.26,I,0-5cm,,1,,,,,1,,,,,,,,,,,,
C3,G000,1.26,I,5.1-10cm,,0,,,,,,,,,,,,,,,,,
C3,G000,1.26,S,0-1.3 m,27,2,3,,,,,,1,,,,,,,,,,
C3,G100,3.99,I,0-5cm,,1,,,,,,,,,2,,,,,,,,
C3,G100,3.99,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,G100,3.99,S,0-1.3 m,,4,,,,,,,,,,,,,,,,,
C3,G250,1.26,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C3,G250,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,G250,1.26,S,0-1.3 m,13,,,,,,,,,,,,,,,,,,
C3,G350,2.52,I,0-5cm,0,,1,,,,,,,,,,,,,,,,
C3,G350,2.52,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,G350,2.52,S,0-1.3 m,7,3,,,,,,,,,,,,,,,,,
C3,H000,3.99,I,0-5cm,,,,,,,,,,,,,,,,,,,
C3,H000,3.99,I,5.1-10cm,,2,,,,,,,,,1,,,,,,,,
C3,H000,3.99,S,0-1.3 m,22,12,3,1,,1,,,,,,,,,,,,,
C3,H100,3.99,I,0-5cm,1,1,,,,,,,,,,,,,,,,,
C3,H100,3.99,I,5.1-10cm,,1,,,,,,,,,,,,,,,,,
C3,H100,3.99,S,0-1.3 m,2,1,,,,,,,,,,,,,,,,,
C3,H200,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,
C3,H200,3.99,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,H200,3.99,S,0-1.3 m,15,,,,,,,,,,,,,,,,,,
C3,H300,2.52,I,0-5cm,,,,,,,,,,,,,,,,,,,
C3,H300,2.52,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,H300,2.52,S,0-1.3 m,4,2,,,7,,,,,,,,,,,,,,
C3,I000,1.26,I,0-5cm,4,,,,,,,,,,,,,,,,,,
C3,I000,1.26,I,5.1-10cm,0,,,,,,,,,,,,,,,,,,
C3,I000,1.26,S,0-1.3 m,5,2,,,,,,,,,,,,,,,,,few more Cw but too small to count
C3,I150,3.99,I,0-5cm,,,,,,,4,,,,,,,,,,,,
C3,I150,3.99,I,5.1-10cm,,,,,,,,,,,,,,,,,,,
C3,I150,3.99,S,0-1.3 m,28,3,6,1,,1,2,,,,,1,,,,,,,
C3,I300,3.99,I,0-5cm,0,,,,,,,,,,,,,,,,,,some regen but too small to be counted
C3,I300,3.99,I,5.1-10cm,0,1,,,,,,,,,,,,,,,,,
C3,I300,3.99,S,0-1.3 m,1,,,,,,,,,,,,,,,,,,
