Unit,Gd Pt,Plot.Size,Spp,DBH,Tree Class,Comments,measurement date
A1,F150,1.78,Ac,6.3,,,August/September 2018
A3,H000,1.26,Ac,9.8,,,August/September 2018
B4,C250,1.26,At,4.1,,,August/September 2018
D3,B100,3.99,Ba,7.7,,,August/September 2018
D4,C150,2.52,Ba,7,,,August/September 2018
C3,A000,2.52,Bl,4.1,,,August/September 2018
D4,D050,2.52,Bl,4.5,,,August/September 2018
D2,D450,1.26,Bl,7.7,,,August/September 2018
D2,D450,1.26,Bl,8.1,,,August/September 2018
D5,E000,1.78,Bl,8.5,,,August/September 2018
D5,E100,1.78,Bl,4,,,August/September 2018
D4,E600,2.52,Bl,6.4,,,August/September 2018
D4,E600,2.52,Bl,9,,,August/September 2018
D4,F050,2.52,Bl,7.5,,,August/September 2018
B4,F200,2.52,Bl,5,,,August/September 2018
A1,A000,1.78,Cw,5.9,,,August/September 2018
B5,A000,3.99,Cw,4,,,August/September 2018
B1,A050,3.99,Cw,4,,,August/September 2018
A2,B050,3.99,Cw,8.7,,,August/September 2018
A2,B050,3.99,Cw,9.9,,,August/September 2018
B1,B100,3.99,Cw,6.9,,,August/September 2018
B1,B100,3.99,Cw,7,,,August/September 2018
B1,B100,3.99,Cw,7,,,August/September 2018
B3,B150,2.52,Cw,4.6,,,August/September 2018
D4,B150,2.52,Cw,9,,,August/September 2018
A2,B150,3.99,Cw,6.2,,,August/September 2018
A2,B150,3.99,Cw,7.5,,,August/September 2018
B2,B200,2.52,Cw,9.6,,,August/September 2018
B1,B300,3.99,Cw,4,,,August/September 2018
B5,C000,3.99,Cw,5.1,,,August/September 2018
B5,C000,3.99,Cw,6.2,,,August/September 2018
B5,C000,3.99,Cw,6.2,,,August/September 2018
D2,C100,2.52,Cw,5.1,,,August/September 2018
A2,C100,2.52,Cw,5.7,,,August/September 2018
D2,C100,2.52,Cw,7,,,August/September 2018
B3,C100,3.99,Cw,9.9,,,August/September 2018
B5,C150,1.78,Cw,4.1,,,August/September 2018
B1,C150,3.99,Cw,5.2,,,August/September 2018
B4,C250,1.26,Cw,4.1,,,August/September 2018
B1,C350,3.99,Cw,6,,,August/September 2018
B3,D000,2.52,Cw,4.6,,,August/September 2018
B3,D000,2.52,Cw,6.5,,,August/September 2018
B1,D100,3.99,Cw,7.5,,,August/September 2018
B5,D150,3.99,Cw,4,,,August/September 2018
B5,D150,3.99,Cw,7.3,,,August/September 2018
B5,D150,3.99,Cw,9.2,,,August/September 2018
B5,D150,3.99,Cw,9.6,,,August/September 2018
A1,D200,1.26,Cw,4.4,,,August/September 2018
A1,D200,1.26,Cw,4.6,,,August/September 2018
B4,D200,1.78,Cw,8.1,,,August/September 2018
B4,D200,1.78,Cw,8.9,,,August/September 2018
A3,D200,2.52,Cw,5.5,,,August/September 2018
D2,D300,2.52,Cw,8.5,,,August/September 2018
B1,D300,3.99,Cw,5.1,,,August/September 2018
B1,D300,3.99,Cw,7.1,,,August/September 2018
A3,D350,2.52,Cw,6,,,August/September 2018
B5,D400,3.99,Cw,7.7,,,August/September 2018
B5,D400,3.99,Cw,7.9,,,August/September 2018
B5,D400,3.99,Cw,8.5,,,August/September 2018
B3,E050,3.99,Cw,4.3,,,August/September 2018
B3,E050,3.99,Cw,4.7,,,August/September 2018
B3,E250,1.26,Cw,5.1,,,August/September 2018
B4,E250,2.52,Cw,6.1,,,August/September 2018
B4,E250,2.52,Cw,6.9,,,August/September 2018
B4,E250,2.52,Cw,9.1,,,August/September 2018
B5,E300,2.52,Cw,5.8,,,August/September 2018
B5,E300,2.52,Cw,7.6,,,August/September 2018
B3,F000,1.26,Cw,4.5,,,August/September 2018
D4,F150,2.52,Cw,4.2,,,August/September 2018
B5,F200,3.99,Cw,4.7,,,August/September 2018
B5,F200,3.99,Cw,7.6,,,August/September 2018
A2,F250,1.78,Cw,8.9,,,August/September 2018
B1,F250,3.99,Cw,4,,,August/September 2018
B1,F250,3.99,Cw,6.5,,,August/September 2018
B1,F250,3.99,Cw,7,,,August/September 2018
B1,F250,3.99,Cw,8,,,August/September 2018
B1,F250,3.99,Cw,9,,,August/September 2018
B3,F300,2.52,Cw,4.2,,,August/September 2018
B1,G000,3.99,Cw,5,,,August/September 2018
B1,G150,3.99,Cw,4.3,,,August/September 2018
B1,G150,3.99,Cw,5.1,,,August/September 2018
B1,G150,3.99,Cw,6.6,,,August/September 2018
B1,G150,3.99,Cw,7.1,,,August/September 2018
B3,G200,1.26,Cw,8.7,,,August/September 2018
B3,G200,1.26,Cw,9.2,,,August/September 2018
B5,G300,3.99,Cw,4.3,,,August/September 2018
B5,G300,3.99,Cw,5.5,,,August/September 2018
B5,G300,3.99,Cw,5.7,,,August/September 2018
B5,G300,3.99,Cw,5.7,,,August/September 2018
B5,G300,3.99,Cw,9.5,,,August/September 2018
B5,H000,3.99,Cw,4,,,August/September 2018
B5,H000,3.99,Cw,5.6,,,August/September 2018
B5,H000,3.99,Cw,6.6,,,August/September 2018
B5,H000,3.99,Cw,7.9,,,August/September 2018
B3,H100,2.52,Cw,4.5,,,August/September 2018
B5,H200,1.26,Cw,7,,,August/September 2018
B5,H200,1.26,Cw,9.3,,,August/September 2018
B1,H200,3.99,Cw,4,,,August/September 2018
B1,H200,3.99,Cw,5.5,,,August/September 2018
B1,H200,3.99,Cw,6.7,,,August/September 2018
B4,H250,2.52,Cw,5.7,,,August/September 2018
B3,H250,2.52,Cw,4.5,,,August/September 2018
A2,I050,3.99,Cw,4,,,August/September 2018
C2,I200,3.99,Cw,4.3,,,August/September 2018
C2,I300,2.52,Cw,4.3,,,August/September 2018
C2,J200,2.52,Cw,5.2,,,August/September 2018
A4,J300,3.99,Cw,7,,,August/September 2018
A4,K100,2.52,Cw,6.1,,,August/September 2018
C2,K100,2.52,Cw,8.1,,,August/September 2018
A4,K100,2.52,Cw,9.1,,,August/September 2018
A1,E150,1.26,Ep,4.9,,,August/September 2018
A1,E150,1.26,Ep,5.5,,,August/September 2018
C2,I200,3.99,Ep,4.8,,,August/September 2018
A3,I350,5.64,Ep,4.9,,,August/September 2018
A3,I350,5.64,Ep,6.3,,,August/September 2018
A3,J050,2.52,Ep,8.1,,,August/September 2018
A3,J050,2.52,Ep,8.9,,,August/September 2018
B5,A000,3.99,Hw,4.2,,,August/September 2018
B5,A000,3.99,Hw,6,,,August/September 2018
D5,A050,1.78,Hw,5,,,August/September 2018
D5,A050,1.78,Hw,5.9,,,August/September 2018
B3,A050,3.99,Hw,5.7,,,August/September 2018
A3,A100,1.26,Hw,4.8,,,August/September 2018
A3,A100,1.26,Hw,5.4,,,August/September 2018
A3,A100,1.26,Hw,5.8,,,August/September 2018
B5,A100,3.99,Hw,4.1,,,August/September 2018
B5,A100,3.99,Hw,6,,,August/September 2018
B5,A100,3.99,Hw,6,,,August/September 2018
B3,A150,3.99,Hw,4.5,,,August/September 2018
B3,A150,3.99,Hw,5.3,,,August/September 2018
B3,A150,3.99,Hw,5.5,,,August/September 2018
B3,A150,3.99,Hw,5.5,,,August/September 2018
B3,A150,3.99,Hw,6.7,,,August/September 2018
B1,A350,3.99,Hw,9.4,,,August/September 2018
D2,B100,3.99,Hw,4,,,August/September 2018
D2,B100,3.99,Hw,5.6,,,August/September 2018
B3,B150,2.52,Hw,8.2,,,August/September 2018
D5,B450,2.52,Hw,9.6,,,August/September 2018
D2,C100,2.52,Hw,4,,,August/September 2018
D2,C100,2.52,Hw,5.2,,,August/September 2018
A1,C250,2.52,Hw,4.8,,,August/September 2018
D4,C250,2.52,Hw,5,,,August/September 2018
D2,C350,2.52,Hw,7,,,August/September 2018
A1,D000,1.78,Hw,4.5,,,August/September 2018
A3,D000,3.99,Hw,5.6,,,August/September 2018
A3,D000,3.99,Hw,6.2,,,August/September 2018
B3,D150,1.26,Hw,5.8,,,August/September 2018
A3,D200,2.52,Hw,7.5,,,August/September 2018
D2,D200,3.99,Hw,4.5,,,August/September 2018
D2,D200,3.99,Hw,4.9,,,August/September 2018
D2,D200,3.99,Hw,7,,,August/September 2018
D2,D200,3.99,Hw,8,,,August/September 2018
D2,D200,3.99,Hw,8,,,August/September 2018
D2,D450,1.26,Hw,4,,,August/September 2018
D2,D450,1.26,Hw,4.7,,,August/September 2018
D2,D450,1.26,Hw,5,,,August/September 2018
D2,D450,1.26,Hw,5.2,,,August/September 2018
D2,D450,1.26,Hw,8.3,,,August/September 2018
D2,D450,1.26,Hw,9.1,,,August/September 2018
D3,D600,2.52,Hw,5,,,August/September 2018
D5,E000,1.78,Hw,9.5,,,August/September 2018
B3,E050,3.99,Hw,4.8,,,August/September 2018
B3,E050,3.99,Hw,5,,,August/September 2018
B4,E150,2.52,Hw,8.2,,,August/September 2018
B3,E150,2.52,Hw,4.5,,,August/September 2018
B3,E150,2.52,Hw,4.9,,,August/September 2018
A3,E300,1.26,Hw,8.5,,,August/September 2018
A3,E300,1.26,Hw,8.7,,,August/September 2018
D2,E300,2.52,Hw,8.8,,,August/September 2018
B5,E300,2.52,Hw,9.8,,,August/September 2018
D5,E400,2.52,Hw,5.7,,,August/September 2018
D3,E400,3.99,Hw,5.1,,,August/September 2018
D3,E400,3.99,Hw,7.2,,,August/September 2018
D3,E400,3.99,Hw,7.6,,,August/September 2018
B5,E450,1.78,Hw,5.6,,,August/September 2018
B2,F200,2.52,Hw,6,,,August/September 2018
B2,F200,2.52,Hw,7.3,,,August/September 2018
D4,F250,2.52,Hw,4.9,,,August/September 2018
D4,F250,2.52,Hw,5.7,,,August/September 2018
A1,F300,1.78,Hw,6.9,,,August/September 2018
B3,F300,2.52,Hw,4,,,August/September 2018
D2,F350,2.52,Hw,4.3,,,August/September 2018
D4,F350,2.52,Hw,4.3,,,August/September 2018
D2,F350,2.52,Hw,5,,,August/September 2018
D2,F350,2.52,Hw,7.7,,,August/September 2018
D3,F400,3.99,Hw,8.3,,,August/September 2018
D3,F550,3.99,Hw,7.8,,,August/September 2018
D4,G050,2.52,Hw,8.3,,,August/September 2018
B4,G100,1.26,Hw,5.5,,,August/September 2018
B4,G100,1.26,Hw,6.7,,,August/September 2018
A1,G250,0.8,Hw,4,,,August/September 2018
A1,G250,0.8,Hw,4.5,,,August/September 2018
A2,G250,3.99,Hw,4.5,,,August/September 2018
A2,G250,3.99,Hw,6.5,,,August/September 2018
B5,G300,3.99,Hw,9,,,August/September 2018
D4,G350,2.52,Hw,4.7,,,August/September 2018
D4,G350,2.52,Hw,4.7,,,August/September 2018
B5,G400,2.52,Hw,6.8,,,August/September 2018
D4,H000,2.52,Hw,4,,,August/September 2018
D4,H000,2.52,Hw,5.6,,,August/September 2018
D5,H000,3.99,Hw,4,,,August/September 2018
B1,H050,3.99,Hw,5,,,August/September 2018
B1,H050,3.99,Hw,7.1,,,August/September 2018
B3,H100,2.52,Hw,4.1,,,August/September 2018
B3,H100,2.52,Hw,4.2,,,August/September 2018
B4,H250,2.52,Hw,8.8,,,August/September 2018
C2,I100,2.52,Hw,4.2,,,August/September 2018
B3,I200,2.52,Hw,7.4,,,August/September 2018
B2,I300,3.99,Hw,5.4,,,August/September 2018
B2,I300,3.99,Hw,5.8,,,August/September 2018
A3,I350,5.64,Hw,4.1,,,August/September 2018
A3,I350,5.64,Hw,6.1,,,August/September 2018
C2,I450,1.78,Hw,4.5,,,August/September 2018
C2,I450,1.78,Hw,8.5,,,August/September 2018
A4,J100,2.52,Hw,5.1,,,August/September 2018
A4,J100,2.52,Hw,6,,,August/September 2018
C2,K000,3.99,Hw,5,,,August/September 2018
C2,K100,2.52,Hw,6.3,,,August/September 2018
C2,K100,2.52,Hw,9.5,,,August/September 2018
D2,E300,2.52,Pl,7.2,,,August/September 2018
B4,B050,2.52,Pl,4.5,,,August/September 2018
B4,B050,2.52,Pl,4.6,,,August/September 2018
D2,D200,3.99,Pl,9.3,,,August/September 2018
B5,G300,3.99,Pl,9.8,,,August/September 2018
A3,D350,2.52,Sx,4,,,August/September 2018
A1,E000,0.8,Sx,6.6,,,August/September 2018
A3,E300,1.26,Sx,6.9,,,August/September 2018
D2,E300,2.52,Sx,9.5,,,August/September 2018
D4,F150,2.52,Sx,6,,,August/September 2018
D4,F250,2.52,Sx,5.6,,,August/September 2018
A1,G150,2.52,Sx,5,,,August/September 2018
A1,G150,2.52,Sx,9.6,,,August/September 2018
A3,H000,1.26,Sx,6.5,,,August/September 2018
C2,I200,3.99,Sx,4.9,,,August/September 2018
A3,I350,5.64,Sx,4,,,August/September 2018
A3,I350,5.64,Sx,5.1,,,August/September 2018
A3,I350,5.64,Sx,6.1,,,August/September 2018
C2,J200,2.52,Sx,6.4,,,August/September 2018
C2,L000,2.52,Sx,4.9,,,August/September 2018
C2,L000,2.52,Sx,5,,,August/September 2018
C2,L000,2.52,Sx,5.6,,,August/September 2018
C2,L100,3.99,Sx,5.1,,,August/September 2018
A2,C000,2.52,Cw,4.3,2,,May in 2019
A2,C000,2.52,Cw,6.2,1,,May in 2019
A2,F000,3.99,Cw,7.1,1,,May in 2019
A2,F000,3.99,Hw,9.2,4,,May in 2019
A2,F000,3.99,Hw,4.2,4,Dead fork of tree #661,May in 2019
A2,F000,3.99,Cw,5.3,2,Leaning at 45 degrees,May in 2019
A2,F000,3.99,Cw,5.1,1,,May in 2019
A2,H050,1.26,Hw,5.5,1,,May in 2019
A2,H350,3.99,Cw,5.4,1,,May in 2019
A2,H350,3.99,Cw,5.5,1,,May in 2019
A2,H350,3.99,Cw,5.7,1,,May in 2019
A2,K150,3.99,Cw,7.6,1,,May in 2019
A2,K150,3.99,Cw,5.9,1,,May in 2019
A3,B200,2.52,Sx,5.5,1,Horizontal growth for 2m before growing upwards; Height of DBH estimated,May in 2019
A3,C100,1.26,Hw,4.4,1,,May in 2019
A3,C250,1.26,At,4,1,,May in 2019
A3,C250,1.26,Ep,6.1,1,,May in 2019
A3,G050,1.26,Ep,5.4,1,,May in 2019
B2,G150,2.52,Ep,4.3,2,,May in 2019
B2,G150,2.52,Ep,9.1,1,,May in 2019
B4,E050,2.52,Hw,5.7,1,,May in 2019
B4,E050,2.52,Hw,6,1,,May in 2019
B4,F100,2.52,Cw,5.3,2,Broken Top,May in 2019
B4,F100,2.52,Sx,5.2,1,,May in 2019
B4,H050,2.52,Pl,9.8,2,Dothostroma,May in 2019
B4,H050,2.52,Hw,8.1,1,,May in 2019
B4,H050,2.52,Hw,7.7,1,,May in 2019
B4,H050,2.52,Cw,8,1,,May in 2019
B4,H050,2.52,Cw,4.1,2,,May in 2019
B4,F000,1.26,Hw,5,1,,May in 2019
B5,B350,3.99,Cw,6.6,1,,May in 2019
B5,B350,3.99,Cw,9.2,1,,May in 2019
B5,D250,1.78,Hw,8.3,1,,May in 2019
B5,D250,1.78,Hw,7.1,1,,May in 2019
B5,D250,1.78,Hw,4.5,1,,May in 2019
B5,D250,1.78,Hw,6.8,1,,May in 2019
B5,D250,1.78,Hw,8.5,1,,May in 2019
B5,D250,1.78,Hw,8,1,,May in 2019
B5,E150,3.99,Cw,7.7,1,,May in 2019
B5,E150,3.99,Cw,8.6,1,,May in 2019
B5,E150,3.99,Cw,7.2,1,,May in 2019
B5,E150,3.99,Cw,8.3,1,,May in 2019
B5,F000,3.99,Hw,4.9,1,,May in 2019
B5,F300,2.52,Cw,9,1,,May in 2019
B5,F300,2.52,Cw,7.3,2,,May in 2019
B5,F300,2.52,Cw,8,1,,May in 2019
B5,G200,3.99,Cw,6.1,1,,May in 2019
B5,G200,3.99,Cw,5.8,4,,May in 2019
B5,G200,3.99,Cw,6.2,1,,May in 2019
B5,G200,3.99,Cw,6.7,1,,May in 2019
B5,H300,3.99,Cw,8.1,1,,May in 2019
B5,H300,3.99,Cw,8.3,2,,May in 2019
B5,H300,3.99,Cw,7.8,1,,May in 2019
C3,C000,1.26,Hw,9.2,1,,May in 2019
C3,D000,1.26,Hw,7.5,1,,May in 2019
C3,E300,3.99,Hw,6,4,,May in 2019
C3,E300,3.99,Hw,7.9,4,,May in 2019
C3,E300,3.99,Bl,8.3,4,,May in 2019
C3,E300,3.99,Hw,7.5,4,,May in 2019
C3,J100,3.99,Hw,5.1,4,,May in 2019
D2,A050,2.52,Hw,5.1,1,,May in 2019
D2,A050,2.52,Sx,4.1,1,,May in 2019
D2,A050,2.52,Hw,6.8,1,,May in 2019
D2,A150,3.99,Hw,5.7,1,,May in 2019
D2,A150,3.99,Hw,7.1,1,,May in 2019
D2,A150,3.99,Hw,7.3,1,,May in 2019
D2,A150,3.99,Hw,5.2,1,,May in 2019
D2,F150,3.99,Sx,8.9,1,,May in 2019
D2,F150,3.99,Sx,8.6,1,,May in 2019
D2,F150,3.99,Hw,6.6,1,,May in 2019
D2,F150,3.99,Hw,4.4,1,,May in 2019
D2,F250,2.52,Hw,5.9,1,,May in 2019
D2,F250,2.52,Hw,6.8,1,,May in 2019
D2,F250,2.52,Hw,5.2,1,,May in 2019
D4,E000,1.78,Ba,6.1,1,,May in 2019
D5,C350,3.99,Ba,7.4,1,,May in 2019
D5,C350,3.99,Ba,4.2,1,,May in 2019
D5,C350,3.99,Ba,7.7,1,,May in 2019
D5,C350,3.99,Hw,8,1,,May in 2019
D5,E200,1.26,Hw,4.4,1,,May in 2019
